"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2026","65.49","66.60","67.09","63.65","4.36K","-3.19%"
"03/16/2026","67.65","67.91","68.77","67.41","1.15K","-0.27%"
"03/13/2026","67.83","66.56","67.99","66.32","1.52K","0.64%"
"03/12/2026","67.40","70.35","71.21","66.60","3.12K","-4.36%"
"03/11/2026","70.47","71.94","72.91","69.97","2.69K","-1.50%"
"03/10/2026","71.54","70.35","71.90","70.35","3.86K","2.88%"
"03/09/2026","69.54","68.07","69.82","67.95","3.86K","0.45%"
"03/06/2026","69.23","68.96","70.11","68.77","1.96K","0.30%"
"03/05/2026","69.02","69.06","69.50","68.39","6.70K","-0.63%"
"03/04/2026","69.46","72.44","72.44","69.03","14.33K","-3.50%"
"03/03/2026","71.98","68.46","72.72","68.31","6.27K","3.87%"
"03/02/2026","69.30","67.95","69.25","66.75","2.68K","0.41%"
"02/27/2026","69.02","70.01","70.57","68.71","1.04K","-0.98%"
"02/26/2026","69.70","71.02","71.21","68.10","0.61K","-2.26%"
"02/25/2026","71.31","70.34","71.62","69.99","1.45K","2.72%"
"02/24/2026","69.42","70.03","70.71","69.10","1.22K","-1.03%"
"02/23/2026","70.14","71.61","71.77","70.05","0.28K","-3.31%"
"02/20/2026","72.54","70.45","73.03","70.06","0.68K","3.47%"
"02/19/2026","70.11","70.48","71.25","69.96","3.81K","-0.34%"
"02/18/2026","70.35","68.81","70.52","67.70","0.44K","2.13%"
"02/17/2026","68.88","67.83","69.93","67.40","2.48K","1.34%"
"02/16/2026","67.97","69.35","70.09","66.95","1.09K","-2.13%"
"02/13/2026","69.45","71.16","72.62","69.35","3.94K","-2.54%"
"02/12/2026","71.26","75.00","75.47","70.80","3.62K","-7.53%"
"02/11/2026","77.06","77.08","77.30","74.73","0.69K","-0.50%"
"02/10/2026","77.45","79.76","80.31","77.25","1.52K","-3.10%"
"02/09/2026","79.93","78.24","80.20","78.09","0.62K","3.38%"
"02/06/2026","77.32","76.62","77.82","74.83","1.76K","0.66%"
"02/05/2026","76.81","81.26","81.41","76.53","7.22K","-5.67%"
"02/04/2026","81.43","79.69","81.92","78.60","1.13K","-0.21%"
"02/03/2026","81.60","82.67","82.97","79.92","2.56K","-0.23%"
"02/02/2026","81.79","79.70","81.98","78.19","3.60K","2.49%"
"01/30/2026","79.80","81.79","82.44","79.26","3.84K","-3.21%"
"01/29/2026","82.45","84.40","84.40","81.91","1.11K","-2.95%"
"01/28/2026","84.96","86.87","86.87","84.48","0.87K","-2.06%"
"01/27/2026","86.75","86.00","87.00","85.95","0.24K","1.41%"
"01/26/2026","85.54","86.84","86.90","84.75","1.87K","-1.44%"
"01/23/2026","86.79","86.78","88.09","86.51","5.29K","-0.08%"
"01/22/2026","86.86","88.41","88.63","86.46","7.59K","1.60%"
"01/21/2026","85.49","83.31","85.80","82.80","0.49K","2.49%"
"01/20/2026","83.41","86.58","86.63","82.31","2.74K","-3.58%"
"01/19/2026","86.51","89.90","89.90","86.34","0.68K","-4.26%"
"01/16/2026","90.36","90.47","91.78","90.10","1.08K","-0.22%"
"01/15/2026","90.56","90.50","91.94","90.08","0.97K","0.45%"
"01/14/2026","90.15","88.98","90.04","88.74","3.18K","1.20%"
"01/13/2026","89.08","88.69","89.36","88.61","1.03K","0.72%"
"01/12/2026","88.44","88.24","88.64","87.93","1.69K","0.63%"
"01/09/2026","87.89","86.43","87.95","86.43","0.75K","1.57%"
"01/08/2026","86.53","85.69","86.63","85.56","0.88K","0.05%"
"01/07/2026","86.49","86.65","86.97","86.23","2.12K","0.05%"
"01/06/2026","86.45","85.74","86.51","85.70","0.24K","0.99%"
"01/05/2026","85.60","86.21","86.91","85.39","0.79K","-1.21%"
"01/02/2026","86.65","86.21","87.21","86.21","0.15K","1.07%"
"12/31/2025","85.73","85.21","85.85","85.21","0.65K","0.13%"
"12/30/2025","85.62","85.47","85.73","85.28","0.32K","-0.20%"
"12/29/2025","85.79","86.58","86.75","85.63","0.31K","-0.64%"
"12/24/2025","86.34","86.70","86.70","86.16","0.10K","-0.59%"
"12/23/2025","86.85","86.18","87.06","85.94","0.63K","1.22%"
"12/22/2025","85.80","85.26","86.14","85.08","3.38K","0.49%"
"12/19/2025","85.38","84.65","85.48","84.45","0.64K","0.67%"
"12/18/2025","84.81","84.79","85.32","83.94","1.06K","-0.36%"
"12/17/2025","85.12","86.02","86.67","84.87","0.54K","-0.64%"
"12/16/2025","85.67","85.52","86.15","85.31","3.04K","0.34%"
"12/15/2025","85.38","85.38","85.51","83.67","6.63K","1.90%"
"12/12/2025","83.79","84.08","84.40","83.40","20.51K","-0.13%"
"12/11/2025","83.90","82.72","84.40","82.72","44.12K","1.80%"
"12/10/2025","82.42","82.62","82.90","81.92","44.60K","-0.52%"
"12/09/2025","82.85","82.10","82.95","81.88","41.00K","1.06%"
"12/08/2025","81.98","81.74","82.58","81.66","33.52K","0.00%"
"12/05/2025","81.98","82.47","82.74","81.61","39.01K","-0.55%"
"12/04/2025","82.43","81.55","82.68","81.28","48.55K","0.78%"
"12/03/2025","81.79","81.88","82.36","81.22","46.31K","-0.04%"
"12/02/2025","81.82","82.50","82.56","81.51","47.75K","-0.99%"
"12/01/2025","82.64","83.00","83.37","82.53","39.25K","-0.74%"
"11/28/2025","83.26","82.26","83.32","82.26","33.71K","1.28%"
"11/27/2025","82.21","81.69","82.52","81.01","55.62K","0.65%"
"11/26/2025","81.68","82.01","82.34","81.30","46.71K","-0.23%"
"11/25/2025","81.87","80.54","82.20","80.49","45.25K","1.56%"
"11/24/2025","80.61","80.30","80.90","79.57","45.78K","0.25%"
"11/21/2025","80.41","80.85","81.00","80.04","32.45K","-1.17%"
"11/20/2025","81.36","80.66","81.89","80.66","28.33K","0.87%"
"11/19/2025","80.66","80.89","81.59","80.20","32.51K","-0.69%"
"11/18/2025","81.22","79.91","81.45","79.52","40.88K","1.63%"
"11/17/2025","79.92","81.45","81.45","79.78","34.46K","-1.25%"
"11/14/2025","80.93","81.28","81.75","80.44","28.11K","-0.50%"
"11/13/2025","81.34","82.16","82.79","80.92","41.70K","-0.70%"
"11/12/2025","81.91","80.79","82.37","80.79","41.00K","1.56%"
"11/11/2025","80.65","80.01","80.90","79.50","36.43K","0.86%"
"11/10/2025","79.96","79.55","80.35","78.91","28.31K","0.62%"
"11/07/2025","79.47","80.35","80.68","79.42","32.54K","-0.87%"
"11/06/2025","80.17","81.24","81.24","80.12","33.90K","-1.62%"
"11/05/2025","81.49","82.00","82.23","80.89","26.68K","-1.00%"
"11/04/2025","82.31","81.20","82.41","81.06","34.67K","1.37%"
"11/03/2025","81.20","78.78","81.75","78.78","47.92K","3.39%"
"10/31/2025","78.54","78.79","79.13","78.01","20.29K","-0.17%"
"10/30/2025","78.67","78.86","79.54","78.54","22.19K","-0.18%"
"10/29/2025","78.81","78.65","79.13","78.18","21.72K","0.63%"
"10/28/2025","78.32","77.94","78.88","77.50","23.63K","0.71%"
"10/27/2025","77.77","78.30","78.30","77.01","23.00K","-0.70%"
"10/24/2025","78.32","78.49","78.89","77.91","17.20K","-0.15%"
"10/23/2025","78.44","78.48","79.19","78.02","25.44K","-0.03%"
"10/22/2025","78.46","79.40","79.64","78.15","24.52K","-1.41%"
"10/21/2025","79.58","79.81","79.99","78.92","22.99K","-0.30%"
"10/20/2025","79.82","79.50","79.96","78.65","25.31K","0.45%"
"10/17/2025","79.46","78.99","79.90","78.12","32.20K","-0.06%"
"10/16/2025","79.51","78.06","79.69","77.61","27.00K","2.09%"
"10/15/2025","77.88","76.73","78.30","76.68","26.10K","1.25%"
"10/14/2025","76.92","77.90","77.90","76.69","32.10K","-1.54%"
"10/13/2025","78.12","79.54","79.74","77.76","32.33K","-1.96%"
"10/10/2025","79.68","79.22","80.37","79.01","31.64K","0.57%"
"10/09/2025","79.23","78.90","79.54","78.04","25.18K","0.28%"
"10/08/2025","79.01","78.14","79.29","77.90","19.36K","0.89%"
"10/07/2025","78.31","78.75","79.13","78.00","27.64K","-0.56%"
"10/06/2025","78.75","79.72","80.11","78.61","31.03K","-0.52%"
"10/03/2025","79.16","77.65","79.55","77.52","33.99K","2.23%"
"10/02/2025","77.43","76.35","77.80","76.11","31.99K","1.44%"
"10/01/2025","76.33","75.61","76.56","74.51","33.97K","0.81%"
"09/30/2025","75.72","76.79","76.80","75.57","24.55K","-1.39%"
"09/29/2025","76.79","75.85","76.97","75.06","27.91K","1.07%"
"09/26/2025","75.98","75.53","76.10","75.10","20.19K","0.29%"
"09/25/2025","75.76","76.03","76.59","75.36","25.39K","-0.34%"
"09/24/2025","76.02","76.64","76.78","75.77","22.11K","-1.00%"
"09/23/2025","76.79","76.21","77.25","75.77","25.55K","0.76%"
"09/22/2025","76.21","77.69","77.69","75.91","27.29K","-1.73%"
"09/19/2025","77.55","77.65","77.75","77.01","18.70K","-0.37%"
"09/18/2025","77.84","76.94","78.23","76.83","26.38K","1.12%"
"09/17/2025","76.98","77.50","78.45","76.69","31.13K","-0.68%"
"09/16/2025","77.51","77.05","78.26","76.49","32.48K","0.99%"
"09/15/2025","76.75","75.60","77.06","75.11","29.11K","1.29%"
"09/12/2025","75.77","75.34","76.03","75.10","21.58K","0.30%"
"09/11/2025","75.54","77.17","77.30","75.30","34.84K","-2.02%"
"09/10/2025","77.10","77.00","77.58","76.25","25.23K","0.26%"
"09/09/2025","76.90","77.00","77.23","76.00","31.66K","-0.35%"
"09/08/2025","77.17","76.05","77.32","75.50","28.61K","1.49%"
"09/05/2025","76.04","75.29","76.25","75.29","27.46K","0.80%"
"09/04/2025","75.44","75.00","75.71","74.58","27.45K","0.65%"
"09/03/2025","74.95","73.46","75.05","73.42","28.90K","1.82%"
"09/02/2025","73.61","74.12","74.44","73.36","28.08K","-0.49%"
"09/01/2025","73.97","72.90","74.55","72.78","32.66K","1.34%"
"08/29/2025","72.99","71.72","73.05","71.60","23.41K","1.77%"
"08/28/2025","71.72","72.34","72.34","71.31","24.62K","-0.72%"
"08/27/2025","72.24","72.72","73.30","71.93","19.03K","-0.70%"
"08/26/2025","72.75","72.04","72.98","71.58","21.04K","0.78%"
"08/25/2025","72.19","72.51","72.60","71.82","15.15K","-0.47%"
"08/22/2025","72.53","72.60","72.80","72.26","14.90K","-0.12%"
"08/21/2025","72.62","71.49","72.76","71.06","26.99K","1.87%"
"08/20/2025","71.29","71.30","71.54","70.65","17.71K","0.18%"
"08/19/2025","71.16","71.65","72.08","71.03","21.75K","-0.92%"
"08/18/2025","71.82","70.89","71.99","70.30","22.94K","1.61%"
"08/15/2025","70.68","71.02","71.31","70.28","16.55K","-0.39%"
"08/14/2025","70.96","71.88","71.88","70.57","27.41K","-1.09%"
"08/13/2025","71.74","71.50","72.15","71.26","14.85K","0.34%"
"08/12/2025","71.50","72.29","72.42","71.37","17.89K","-1.20%"
"08/11/2025","72.37","72.98","73.15","72.00","18.80K","-1.15%"
"08/08/2025","73.21","71.96","73.35","71.80","28.22K","2.01%"
"08/07/2025","71.77","70.73","72.01","70.30","25.41K","1.10%"
"08/06/2025","70.99","71.39","71.71","70.75","17.20K","-0.84%"
"08/05/2025","71.59","70.86","71.74","70.50","21.04K","1.04%"
"08/04/2025","70.85","71.00","71.33","70.15","22.02K","-0.27%"
"08/01/2025","71.04","72.30","72.43","71.00","27.57K","-2.23%"
"07/31/2025","72.66","72.64","73.07","72.22","20.49K","-0.27%"
"07/30/2025","72.86","73.18","73.35","72.52","15.02K","-0.30%"
"07/29/2025","73.08","70.73","73.30","70.40","32.11K","3.44%"
"07/28/2025","70.65","71.50","72.25","70.06","24.47K","-0.97%"
"07/25/2025","71.34","71.11","71.50","70.64","17.46K","0.65%"
"07/24/2025","70.88","69.83","71.18","69.23","30.79K","2.19%"
"07/23/2025","69.36","69.34","69.99","69.00","19.48K","0.36%"
"07/22/2025","69.11","69.91","69.91","68.86","24.53K","-1.03%"
"07/21/2025","69.83","70.12","70.55","69.72","20.62K","-0.09%"
"07/18/2025","69.89","70.55","71.03","69.84","18.03K","-0.94%"
"07/17/2025","70.55","71.16","71.39","70.32","20.01K","-1.07%"
"07/16/2025","71.31","71.28","72.39","70.84","18.06K","-0.28%"
"07/15/2025","71.51","70.30","71.65","69.99","19.39K","1.55%"
"07/14/2025","70.42","70.10","71.39","69.52","23.69K","-0.18%"
"07/11/2025","70.55","70.60","71.00","69.64","21.76K","-0.27%"
"07/10/2025","70.74","70.37","71.55","70.31","18.58K","0.50%"
"07/09/2025","70.39","70.45","71.08","69.89","17.80K","-0.04%"
"07/08/2025","70.42","71.22","71.46","70.28","20.66K","-1.10%"
"07/07/2025","71.20","71.70","71.99","70.62","17.58K","-0.66%"
"07/04/2025","71.67","72.32","72.32","71.25","12.91K","-0.54%"
"07/03/2025","72.06","71.70","72.79","71.06","22.29K","0.18%"
"07/02/2025","71.93","70.59","72.29","70.55","21.00K","1.91%"
"07/01/2025","70.58","69.11","70.89","68.90","25.72K","2.33%"
"06/30/2025","68.97","71.03","71.08","68.71","27.54K","-2.80%"
"06/27/2025","70.96","70.42","71.14","70.11","24.51K","0.80%"
"06/26/2025","70.40","71.08","71.50","70.26","35.18K","-1.05%"
"06/25/2025","71.15","73.24","73.40","70.96","31.98K","-3.25%"
"06/24/2025","73.54","73.00","74.57","72.60","38.63K","0.37%"
"06/23/2025","73.27","72.85","73.50","72.43","26.60K","1.57%"
"06/20/2025","72.14","72.09","72.36","71.74","2.28K","0.32%"
"06/19/2025","71.91","74.02","74.12","70.95","4.20K","-2.51%"
"06/18/2025","73.76","74.04","74.40","73.40","0.37K","-0.04%"
"06/17/2025","73.79","74.61","74.63","73.75","0.77K","-0.94%"
"06/16/2025","74.49","74.94","75.02","74.00","0.72K","-0.80%"
"06/13/2025","75.09","75.21","75.78","75.05","0.93K","0.71%"
"06/12/2025","74.56","73.47","74.80","72.66","1.41K","1.40%"
"06/11/2025","73.53","72.53","73.78","72.49","3.76K","2.32%"
"06/10/2025","71.86","73.28","73.28","71.55","0.97K","-2.11%"
"06/09/2025","73.41","73.00","73.48","73.00","0.00K","1.02%"
"06/06/2025","72.67","72.11","72.94","72.00","1.11K","1.06%"
"06/05/2025","71.91","71.80","73.10","71.58","1.57K","0.15%"
"06/04/2025","71.80","72.06","72.70","71.51","0.90K","0.03%"
"06/03/2025","71.78","70.30","72.00","69.98","1.21K","2.40%"
"06/02/2025","70.10","70.10","71.20","69.69","1.04K","0.70%"
"05/30/2025","69.61","69.96","70.70","69.43","2.61K","-0.77%"
"05/29/2025","70.15","72.05","72.62","69.95","2.40K","-1.56%"
"05/28/2025","71.26","70.15","71.77","70.15","1.19K","0.44%"
"05/27/2025","70.95","72.21","72.21","70.90","0.87K","-1.77%"
"05/26/2025","72.23","72.10","72.56","71.46","0.01K","2.08%"
"05/23/2025","70.76","71.40","71.48","69.25","0.21K","-0.77%"
"05/22/2025","71.31","72.58","72.58","71.14","1.76K","-0.82%"
"05/21/2025","71.90","72.30","72.37","71.54","0.13K","-0.61%"
"05/20/2025","72.34","71.83","71.94","71.79","0.34K","3.92%"
"05/19/2025","69.61","70.00","70.00","68.99","1.11K","-0.78%"
"05/16/2025","70.16","72.67","72.74","70.15","0.45K","-3.33%"
"05/15/2025","72.58","72.43","72.84","72.42","1.56K","1.52%"
"05/14/2025","71.49","71.25","71.58","70.91","1.28K","-0.79%"
"05/13/2025","72.06","72.10","72.10","72.10","0.71K","-0.70%"
"05/12/2025","72.57","71.81","72.63","71.81","0.91K","4.27%"
"05/09/2025","69.60","70.23","70.34","69.65","1.01K","-0.47%"
"05/08/2025","69.93","70.32","70.32","69.88","0.05K","-0.48%"
"05/07/2025","70.27","69.70","70.45","69.70","2.55K","2.60%"
"05/06/2025","68.49","68.00","68.60","68.00","0.29K","2.64%"
"05/05/2025","66.73","66.25","66.94","66.25","0.65K","-1.87%"
"05/02/2025","68.00","67.92","68.18","67.70","0.76K","2.60%"
"05/01/2025","66.28","66.26","66.39","66.26","0.15K","0.70%"
"04/30/2025","65.82","65.14","65.70","65.14","1.10K","2.67%"
"04/29/2025","64.11","63.78","64.17","63.78","0.12K","-0.73%"
"04/28/2025","64.58","65.00","65.22","64.39","1.59K","-1.69%"
"04/25/2025","65.69","65.69","65.85","65.58","1.10K","0.17%"
"04/24/2025","65.58","64.75","65.51","64.74","0.33K","-0.86%"
"04/23/2025","66.15","65.50","65.83","65.50","1.56K","3.91%"
"04/22/2025","63.66","64.47","64.47","63.66","1.13K","-2.24%"
"04/17/2025","65.12","65.04","65.14","64.84","2.93K","-1.60%"
"04/16/2025","66.18","64.83","66.74","64.83","1.72K","1.16%"
"04/15/2025","65.42","65.42","65.42","65.42","2.22K","-0.49%"
"04/14/2025","65.74","65.67","65.90","65.67","0.96K","2.59%"
"04/11/2025","64.08","61.94","62.03","61.16","0.12K","4.40%"
"04/10/2025","61.38","62.43","62.43","60.98","1.08K","1.91%"
"04/09/2025","60.23","60.14","60.32","59.85","0.01K","-1.75%"
"04/08/2025","61.30","60.98","62.21","60.16","0.13K","-1.32%"
"04/07/2025","62.12","60.50","63.79","59.70","0.15K","-1.52%"
"04/04/2025","63.08","64.84","64.84","62.03","0.64K","-3.33%"
"04/03/2025","65.25","66.35","66.35","65.10","0.85K","-3.60%"
"04/02/2025","67.69","68.77","68.77","67.56","0.05K","-1.87%"
"04/01/2025","68.98","68.47","69.01","68.47","0.13K","2.76%"
"03/31/2025","67.13","67.10","67.12","66.40","0.04K","-1.15%"
"03/28/2025","67.91","67.90","67.95","67.86","2.04K","0.37%"
"03/27/2025","67.66","67.78","67.82","67.21","2.06K","-3.22%"
"03/26/2025","69.91","69.09","69.92","69.09","0.89K","0.55%"
"03/25/2025","69.53","69.71","69.71","69.30","0.37K","-1.49%"
"03/24/2025","70.58","70.55","70.72","70.48","1.54K","0.81%"
"03/21/2025","70.01","72.49","72.49","70.00","3.76K","-2.14%"
"03/20/2025","71.54","72.20","72.43","71.40","2.83K","-0.58%"
"03/19/2025","71.96","70.59","72.39","70.51","6.67K","2.98%"
"03/18/2025","69.88","69.16","70.05","68.48","2.19K","1.73%"
"03/17/2025","68.69","69.23","69.23","68.16","0.27K","-1.25%"
"03/14/2025","69.56","69.16","70.28","68.98","0.58K","0.56%"
"03/13/2025","69.17","68.24","70.14","67.41","0.83K","1.41%"
"03/12/2025","68.21","66.92","68.32","65.91","2.28K","2.03%"
"03/11/2025","66.85","67.75","67.90","66.21","0.60K","-1.07%"
"03/10/2025","67.57","67.03","68.56","66.50","2.97K","0.54%"
"03/07/2025","67.21","65.48","68.00","65.48","2.08K","1.94%"
"03/06/2025","65.93","67.36","67.73","65.50","2.37K","-2.18%"
"03/05/2025","67.40","66.95","68.13","66.74","1.29K","0.40%"
"03/04/2025","67.13","69.98","69.98","66.51","1.45K","-4.26%"
"03/03/2025","70.12","70.91","71.29","69.88","0.81K","0.81%"
