"Date","Price","Open","High","Low","Vol.","Change %"
"17/03/2026","1.1539","1.1498","1.1548","1.1466","","0.30%"
"16/03/2026","1.1505","1.1414","1.1526","1.1412","","0.78%"
"13/03/2026","1.1416","1.1511","1.1530","1.1411","","-0.83%"
"12/03/2026","1.1511","1.1568","1.1576","1.1510","","-0.48%"
"11/03/2026","1.1567","1.1612","1.1646","1.1561","","-0.38%"
"10/03/2026","1.1611","1.1637","1.1669","1.1607","","-0.22%"
"09/03/2026","1.1637","1.1569","1.1639","1.1507","","0.16%"
"06/03/2026","1.1618","1.1610","1.1622","1.1546","","0.08%"
"05/03/2026","1.1609","1.1634","1.1648","1.1559","","-0.21%"
"04/03/2026","1.1633","1.1612","1.1656","1.1574","","0.16%"
"03/03/2026","1.1614","1.1689","1.1708","1.1530","","-0.64%"
"02/03/2026","1.1689","1.1791","1.1800","1.1672","","-1.06%"
"27/02/2026","1.1814","1.1797","1.1828","1.1788","","0.14%"
"26/02/2026","1.1797","1.1810","1.1830","1.1774","","-0.12%"
"25/02/2026","1.1811","1.1773","1.1814","1.1771","","0.33%"
"24/02/2026","1.1772","1.1791","1.1797","1.1766","","-0.12%"
"23/02/2026","1.1786","1.1785","1.1836","1.1774","","0.03%"
"20/02/2026","1.1782","1.1774","1.1809","1.1743","","0.07%"
"19/02/2026","1.1774","1.1784","1.1808","1.1742","","-0.08%"
"18/02/2026","1.1784","1.1854","1.1859","1.1782","","-0.60%"
"17/02/2026","1.1855","1.1851","1.1856","1.1805","","0.03%"
"16/02/2026","1.1851","1.1869","1.1877","1.1846","","-0.15%"
"13/02/2026","1.1869","1.1871","1.1886","1.1847","","-0.02%"
"12/02/2026","1.1871","1.1878","1.1891","1.1852","","0.00%"
"11/02/2026","1.1871","1.1895","1.1928","1.1833","","-0.20%"
"10/02/2026","1.1895","1.1913","1.1929","1.1887","","-0.17%"
"09/02/2026","1.1915","1.1817","1.1927","1.1809","","0.83%"
"06/02/2026","1.1817","1.1778","1.1827","1.1765","","0.34%"
"05/02/2026","1.1777","1.1808","1.1822","1.1774","","-0.25%"
"04/02/2026","1.1807","1.1819","1.1839","1.1790","","-0.10%"
"03/02/2026","1.1819","1.1791","1.1829","1.1780","","0.24%"
"02/02/2026","1.1791","1.1856","1.1875","1.1776","","-0.50%"
"30/01/2026","1.1850","1.1971","1.1976","1.1850","","-1.01%"
"29/01/2026","1.1971","1.1954","1.1997","1.1906","","0.14%"
"28/01/2026","1.1954","1.2041","1.2046","1.1896","","-0.72%"
"27/01/2026","1.2041","1.1876","1.2079","1.1850","","1.35%"
"26/01/2026","1.1881","1.1833","1.1907","1.1833","","0.45%"
"23/01/2026","1.1828","1.1753","1.1834","1.1728","","0.62%"
"22/01/2026","1.1755","1.1684","1.1757","1.1670","","0.61%"
"21/01/2026","1.1684","1.1722","1.1743","1.1677","","-0.35%"
"20/01/2026","1.1725","1.1644","1.1769","1.1632","","0.68%"
"19/01/2026","1.1646","1.1584","1.1649","1.1572","","0.41%"
"16/01/2026","1.1599","1.1608","1.1628","1.1584","","-0.08%"
"15/01/2026","1.1608","1.1642","1.1648","1.1593","","-0.31%"
"14/01/2026","1.1644","1.1646","1.1662","1.1635","","0.01%"
"13/01/2026","1.1643","1.1669","1.1678","1.1634","","-0.21%"
"12/01/2026","1.1668","1.1635","1.1698","1.1621","","0.26%"
"09/01/2026","1.1638","1.1660","1.1663","1.1618","","-0.19%"
"08/01/2026","1.1660","1.1674","1.1684","1.1643","","-0.12%"
