"Date","Price","Open","High","Low","Vol.","Change %"
"17/03/2026","51.559","51.975","52.400","51.190","0.11K","1.32%"
"16/03/2026","50.887","51.585","52.150","50.750","0.14K","1.54%"
"13/03/2026","50.115","50.995","52.100","48.900","0.08K","-1.48%"
"12/03/2026","50.870","52.030","52.295","50.000","0.10K","1.76%"
"11/03/2026","49.989","47.000","51.345","46.800","0.21K","5.48%"
"10/03/2026","47.393","47.805","49.580","46.400","0.10K","-16.05%"
"09/03/2026","56.453","62.660","62.900","55.800","0.24K","5.75%"
"06/03/2026","53.385","48.805","53.670","48.145","0.25K","5.23%"
"05/03/2026","50.731","52.850","53.920","47.895","0.56K","4.03%"
"04/03/2026","48.767","56.800","57.145","45.895","0.47K","-10.17%"
"03/03/2026","54.290","52.250","63.750","50.900","0.71K","21.98%"
"02/03/2026","44.506","38.590","48.590","38.320","0.41K","39.26%"
"27/02/2026","31.959","31.695","32.835","31.650","0.78K","-0.82%"
"26/02/2026","32.224","30.400","30.425","30.400","0.01K","3.78%"
"25/02/2026","31.050","31.420","31.500","31.420","0.04K","0.51%"
"24/02/2026","30.891","31.650","31.650","31.400","0.03K","-2.96%"
"23/02/2026","31.834","31.650","32.100","31.550","0.08K","-0.61%"
"20/02/2026","32.029","32.590","32.850","31.880","0.13K","-4.46%"
"19/02/2026","33.523","32.800","34.270","32.800","0.06K","6.49%"
"18/02/2026","31.481","30.010","31.875","29.380","0.04K","5.56%"
"17/02/2026","29.822","31.020","31.200","29.895","0.14K","-3.03%"
"16/02/2026","30.755","30.755","31.200","30.755","0.05K","-5.37%"
"13/02/2026","32.500","32.495","32.495","32.075","0.07K","-1.50%"
"12/02/2026","32.994","32.900","33.265","32.375","0.13K","2.57%"
"11/02/2026","32.167","32.495","32.850","32.185","0.03K","1.01%"
"10/02/2026","31.846","33.600","33.600","31.810","0.02K","-4.93%"
"09/02/2026","33.496","32.505","33.535","32.485","0.13K","-6.16%"
"06/02/2026","35.694","34.230","35.550","34.135","0.21K","5.81%"
"05/02/2026","33.735","34.175","35.050","33.845","0.15K","0.70%"
"04/02/2026","33.501","33.365","33.820","32.850","0.17K","1.95%"
"03/02/2026","32.860","31.955","32.890","31.355","0.27K","-3.20%"
"02/02/2026","33.945","34.650","35.150","33.080","0.24K","-13.59%"
"30/01/2026","39.285","39.180","39.640","37.525","0.15K","-2.06%"
"29/01/2026","40.113","40.113","40.113","40.113","","3.22%"
"28/01/2026","38.861","39.205","39.205","37.275","0.58K","0.26%"
"27/01/2026","38.761","39.055","39.480","38.210","0.17K","-0.90%"
"26/01/2026","39.112","40.800","40.800","40.130","0.12K","-2.32%"
"23/01/2026","40.039","37.200","40.005","37.200","0.29K","5.15%"
"22/01/2026","38.079","39.225","41.800","37.450","0.42K","-2.88%"
"21/01/2026","39.208","34.550","39.925","34.400","0.40K","9.25%"
"20/01/2026","35.887","34.700","37.095","33.215","1.12K","2.20%"
"19/01/2026","35.115","35.115","35.455","33.215","0.33K","-4.78%"
"16/01/2026","36.879","33.950","37.990","33.950","0.67K","11.22%"
"15/01/2026","33.158","32.270","33.640","31.975","1.42K","4.23%"
"14/01/2026","31.813","30.725","32.925","30.420","1.85K","1.08%"
"13/01/2026","31.473","32.120","32.300","30.670","1.52K","4.06%"
